Assessment centre location,Venue description,Assessment centre venue,Date,AM Capacity,PM Capacity,AM Minimum Viability,AM Safety Margins,PM Minimum Viability,PM Safety Margins
London,FSAC,London (FSAC),03/15/2018,25,25,15,6,15,6
London,FSAC,London (FSAC),03/16/2018,25,25,15,6,15,6
London,FSAC,London (FSAC),03/20/2018,25,25,15,6,15,6
London,FSAC,London (FSAC),03/21/2018,25,25,15,6,15,6
London,FSAC,London (FSAC),03/22/2018,25,25,15,6,15,6
London,FSAC,London (FSAC),04/09/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/10/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/11/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/12/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/16/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/17/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/18/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/19/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/23/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/24/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/25/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/26/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),04/30/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),05/01/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),05/02/2018,40,40,20,10,20,10
London,FSAC,London (FSAC),05/03/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/15/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/16/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/20/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/21/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/22/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/09/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/10/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/11/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/12/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/17/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/18/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/19/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/24/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/25/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),04/26/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),05/01/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),05/02/2018,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),05/03/2018,40,40,20,10,20,10
