Assessment centre location,Venue description,Assessment centre venue,Date,AM Capacity,PM Capacity,AM Minimum Viability,AM Safety Margins,PM Minimum Viability,PM Safety Margins
London,FSAC,London (FSAC),15/03/18,25,25,15,6,15,6
London,FSAC,London (FSAC),16/03/18,25,25,15,6,15,6
London,FSAC,London (FSAC),20/03/18,25,25,15,6,15,6
London,FSAC,London (FSAC),21/03/18,25,25,15,6,15,6
London,FSAC,London (FSAC),22/03/18,25,25,15,6,15,6
London,FSAC,London (FSAC),09/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),10/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),11/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),12/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),16/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),17/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),18/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),19/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),23/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),24/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),25/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),26/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),30/04/18,40,40,20,10,20,10
London,FSAC,London (FSAC),01/05/18,40,40,20,10,20,10
London,FSAC,London (FSAC),02/05/18,40,40,20,10,20,10
London,FSAC,London (FSAC),03/05/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),15/03/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),16/03/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),20/03/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),21/03/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),22/03/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),09/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),10/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),11/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),12/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),17/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),18/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),19/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),24/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),25/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),26/04/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),01/05/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),02/05/18,40,40,20,10,20,10
Newcastle,FSAC,Newcastle (FSAC),03/05/18,40,40,20,10,20,10
